"","assessed_value"
"334",538098.216961798
"335",303563.47039633
"336",184384.058378972
"337",298730.337104737
"338",178942.906258555
"339",229775.841401021
"340",657569.786416451
"341",311853.314011251
"342",273247.844665669
"343",133797.09099483
"344",167449.271578048
"345",193927.844368591
"346",258067.42012408
"347",221615.563089415
"348",260582.772062986
"349",324712.08216628
"350",226202.240146178
"351",164825.98465057
"352",133322.459851292
"353",293319.396219206
"354",149318.896907567
"355",142880.874263434
"356",306669.109282716
"357",243912.616917583
"358",484225.737612958
"359",137593.456906496
"360",427203.220074953
"361",93603.1986379084
"362",273668.508775293
"363",285971.904964106
"364",239953.784983303
"365",2424.75426588655
"366",735104.496610103
"367",453953.730530983
"368",487360.483750274
"369",332492.805714142
"370",13248.3392871122
"371",290931.570882195
"372",365339.945532622
"373",610981.459700814
"374",137930.38319825
"375",357913.929051372
"376",79210.6962874898
"377",249734.902579191
"378",384647.379693208
"379",525858.491346736
"380",119473.06390963
"381",251560.039904637
"382",154912.423319165
"383",205028.945246155
"384",187650.481105599
"385",247343.705129187
"386",226269.627937616
"387",352553.933669106
"388",233582.54578688
"389",567581.946205921
"390",415558.643376399
"391",348690.581885164
"392",65037.9273266571
"393",421198.185198174
"394",656034.524748878
"395",562568.764303555
"396",189175.006563376
"397",482120.345059463
"398",195191.349610685
"399",291187.771134208
"400",303727.278538259
"401",658500.112056333
"402",315328.001470299
"403",237488.619402756
"404",555184.114787209
"405",1277137.57658963
"406",585572.397635262
"407",162415.929529195
"408",183505.559228433
"409",326409.680526032
"410",97582.9650746339
"411",394834.080670385
"412",251518.929276668
"413",251951.117120489
"414",665053.298827507
"415",495087.216694409
"416",339369.816022779
"417",321383.826997944
"418",312247.943000777
"419",224160.477455873
"420",264856.031671318
"421",130882.626983957
"422",109360.958811454
"423",112990.199115901
"424",305507.36681069
"425",374197.586606409
"426",196984.425728053
"427",203046.721162633
"428",219011.968431999
"429",341607.67452697
"430",432469.816957448
"431",151180.982374944
"432",369489.459739013
"433",226535.696468736
"434",183110.823030143
"435",420560.991180321
"436",169288.995723031
"437",170605.12122382
"438",219651.415744423
"439",489076.473979802
"440",421295.930353095
"441",281387.826960578
"442",412507.554200145
"443",276615.435115588
"444",0
"445",165177.597519251
"446",441587.093148836
"447",140918.451574193
"448",233968.578916705
"449",404865.676088803
"450",145188.068539726
"451",175228.111205667
"452",149396.877090979
"453",97702.7351730033
"454",197843.129833275
"455",229955.067515993
"456",784478.8457073
"457",302370.174589552
"458",233690.018693894
"459",234815.32326397
"460",143041.818320822
"461",355996.205062852
"462",301809.340797385
"463",342309.416442917
"464",318657.56640679
"465",485847.383618662
"466",226988.701060449
"467",476500.07856416
"468",213820.321066311
"469",152677.46557836
"470",117195.189624701
"471",228909.698095894
"472",98546.137517256
"473",122113.732904929
"474",400619.976233949
"475",355733.622894497
"476",389300.69444343
"477",89859.3789641748
"478",348655.438638426
"479",318478.726284075
"480",128166.374519313
"481",178635.159459376
"482",186124.384243968
"483",159156.89472437
"484",399338.004657343
"485",0
"486",209478.100879328
"487",184194.867494168
"488",176725.911633756
"489",196128.266080739
"490",403547.374023558
"491",265192.469883288
"492",58342.0585579644
"493",16968.195012515
"494",167400.722975929
"495",186718.247300543
"496",12476.3052771815
"497",285630.284436244
"498",210570.117037293
"499",202309.928378453
"500",303256.305179784
"501",156851.657574249
"502",359086.943614057
"503",288707.097499526
"504",243833.189359771
"505",199553.2284346
"506",116617.049516037
"507",337480.460181629
"508",189031.393095079
"509",551915.361077449
"510",342561.922592812
"511",355212.860107959
"512",257501.42797513
"513",416089.906397885
"514",274490.748835883
"515",353880.183665163
"516",245139.468839831
"517",358605.666567263
"518",55864.7693879424
"519",691872.124172927
"520",253492.693669486
"521",184750.880619257
"522",241930.839982156
"523",265009.063386335
"524",352355.307648708
"525",415393.510837941
"526",457828.661369175
"527",378452.202974101
"528",304518.89034564
"529",514920.873613285
"530",344078.271724429
"531",168020.472665001
"532",359351.190126677
"533",203639.186664236
"534",691519.868064013
"535",206061.065442205
"536",343653.439509149
"537",160804.380059252
"538",0
"539",156119.916293373
"540",89754.0609594673
"541",155848.515308227
"542",315326.401041567
"543",477017.907136236
"544",212242.902829574
"545",310780.933048311
"546",344741.773732929
"547",120158.836829713
"548",268353.239459794
"549",202764.693003632
"550",222531.751019064
"551",270136.808856967
"552",91211.2353208365
"553",209346.82795915
"554",230928.199491559
"555",131721.799513904
"556",148981.247576942
"557",35124.5623031085
"558",197765.669419555
"559",111516.963630279
"560",162683.927027415
"561",218450.947088475
"562",169183.178805833
"563",189253.041582704
"564",256265.655315538
"565",289484.190917775
"566",403174.554971461
"567",143022.733220702
"568",257608.759635491
"569",248150.058930469
"570",178575.227833836
"571",421714.728096719
"572",192463.377194778
"573",253395.248918406
"574",300860.118622608
"575",261711.333854415
"576",285791.627848329
"577",218443.280776786
"578",90058.7763076656
"579",385792.170242175
"580",74803.0143171563
"581",185862.744391795
"582",192321.662467594
"583",388121.052749457
"584",142158.987505975
"585",707142.549450659
"586",357043.483648741
"587",315950.361676947
"588",526553.968666653
"589",18504.464258276
"590",131926.631172453
"591",75749.0359160677
"592",402094.82648283
"593",287284.694797021
"594",0
"595",244302.45334249
"596",269075.383468347
"597",414611.937448615
"598",117815.776693724
"599",427007.870226218
"600",123754.30307279
"601",435888.143777081
"602",60195.8687793596
"603",233137.675490582
"604",0
"605",304468.527209662
"606",320663.438979923
"607",183644.765621299
"608",149142.182741662
"609",315167.579157167
"610",342918.861920203
"611",133080.108519894
"612",288134.797049201
"613",212315.84052852
"614",350656.17861986
"615",256155.625566351
"616",263124.828767503
"617",211876.417617384
"618",184012.609909347
"619",666864.717124873
"620",280752.524585252
"621",167165.193466904
"622",258607.532533348
"623",140388.8315918
"624",401276.719081752
"625",203453.516463472
"626",138765.989163023
"627",141519.855956342
"628",132947.439919645
"629",396052.54258145
"630",465613.070664206
"631",110831.194876993
"632",50193.7332212557
"633",332974.018011545
"634",148087.145624534
"635",140183.233705371
"636",71427.9882035429
"637",473134.994676202
"638",321721.525417785
"639",92227.1686490074
"640",254017.111097127
"641",296681.420297381
"642",222914.149499642
"643",238039.039084172
"644",557108.316377759
"645",489118.9897231
"646",259862.776639085
"647",111036.42004439
"648",155993.775905124
"649",25221.6442018759
"650",241858.307690676
"651",96273.6086829735
"652",63718.4003767711
"653",175434.043304344
"654",418989.602634477
"655",426899.74241627
"656",277347.35468997
"657",206179.549200969
"658",476043.336035991
"659",0
"660",540209.484809841
"661",448551.749542798
"662",50382.9039609376
"663",75166.4049311879
"664",172936.852481779
"665",558336.518387016
"666",399607.483483505
"667",424312.125450918
"668",226021.36186941
"669",464186.694099024
"670",406892.131760827
"671",275656.554657575
"672",213207.197475012
"673",608602.417748381
"674",100382.914484449
"675",725357.353589458
"676",191171.355058484
"677",354848.337859026
"678",212969.417234051
"679",349898.68746788
"680",33403.4090295084
"681",186583.736195858
"682",217299.965318261
"683",131435.389550574
"684",115191.786512336
"685",232017.893593476
"686",342404.300084835
"687",108351.386721553
"688",309760.173184823
"689",781087.850701692
"690",219898.389562614
"691",213719.387881565
"692",221999.855128014
"693",217484.467524085
"694",147439.966389817
"695",240456.009579079
"696",315896.281466028
"697",200040.123475603
"698",350666.697350262
"699",745571.263309208
"700",209331.689629326
"701",158239.772074768
"702",313033.897647516
"703",287424.181943077
"704",214086.750926377
"705",303119.174711572
"706",438851.329231936
"707",324139.710678265
"708",186936.915012439
"709",190049.06715202
"710",240256.533669219
"711",231120.29420002
"712",143750.479148289
"713",9442.04650766631
"714",355357.053719033
"715",259806.198543238
"716",474853.159838895
"717",303012.296102163
"718",131270.204950897
"719",193941.534847815
"720",352982.156512962
"721",268881.234291032
"722",206726.258542215
"723",84001.4367553928
"724",86689.676560833
"725",364632.321039163
"726",595434.812612544
"727",118367.126809639
"728",138732.169163749
"729",236744.587539926
"730",428721.569586446
"731",153073.658654703
"732",558640.740668816
"733",334365.335803503
"734",236497.407902175
"735",174431.617538317
"736",0
"737",1336709.61970789
"738",284768.473139183
"739",228921.334299422
"740",233408.076960416
"741",284208.504593808
"742",145970.785124452
"743",485039.938371385
"744",166590.405513089
"745",182806.340817219
"746",239619.673997537
"747",226515.796206614
"748",176555.348749871
"749",591833.792973764
"750",104230.574889769
"751",61187.1966227561
"752",211588.193849831
"753",273954.252860479
"754",314456.491484212
"755",275973.782349237
"756",233249.403851387
"757",459730.427649827
"758",89134.9872377138
"759",324327.188980741
"760",622725.054543355
"761",194023.058636321
"762",378380.141827666
"763",211769.561562143
"764",234981.682873378
"765",153020.009206126
"766",502400.58573364
"767",495071.628819874
"768",249349.406794148
"769",381716.451679684
"770",334859.689449974
"771",736567.582362978
"772",341010.004561842
"773",99262.2286508611
"774",282591.720683778
"775",333981.424765045
"776",315425.552323133
"777",89601.53814153
"778",86671.1257209308
"779",161520.719488776
"780",504698.381674695
"781",328301.318932221
"782",258809.085941053
"783",65131.5840166103
"784",258539.058461344
"785",342191.993344537
"786",308739.983190154
"787",858574.731064413
"788",545524.824374147
"789",618083.847694232
"790",211020.493908007
"791",612864.038257583
"792",93446.3011839187
"793",336029.251475874
"794",395118.675476055
"795",393371.915826908
"796",231493.053342135
"797",228503.014772146
"798",820452.117559347
"799",227199.471393559
"800",424465.924581369
"801",123101.576420558
"802",47115.3327458108
"803",2782.26335673182
"804",145641.798494911
"805",355166.070539736
"806",590302.552748793
"807",249752.251078401
"808",410851.743330915
"809",124210.981559927
"810",268811.549748576
"811",168403.379743556
"812",324067.856011781
"813",798820.564306903
"814",482715.467715726
"815",503877.095864051
"816",241010.86042298
"817",279394.410219427
"818",367610.222151105
"819",541635.61889442
"820",169117.987459948
"821",306042.326666052
"822",455768.965086814
"823",181335.323065607
"824",294339.70430285
"825",285341.991927449
"826",299354.621757947
"827",508841.174058683
"828",259471.362765763
"829",141819.670937493
"830",251339.15527431
"831",110085.040806661
"832",695330.129114339
"833",390019.444344354
"834",326372.756490967
"835",672882.454580376
"836",136234.181327788
"837",469618.03061954
"838",219331.398105965
"839",297513.703345357
"840",517578.662336065
"841",187527.875204281
"842",104761.845757373
"843",98046.5680207551
"844",195793.371525281
"845",299606.13505153
"846",382305.156372815
"847",276096.876593807
"848",273949.657805996
"849",123312.387922244
"850",301674.834027351
"851",108466.185424595
"852",549692.491241448
"853",173081.570012897
"854",283653.239361072
"855",554638.682181841
"856",436392.253399814
"857",438805.246090109
"858",376461.259139787
"859",137530.131703816
"860",322503.622664902
"861",62332.7124732232
"862",335438.562072067
"863",450409.965704848
"864",640345.662757623
"865",215129.761601025
"866",217943.533817275
"867",282044.612541187
"868",187637.335283394
"869",679961.784076176
"870",55516.6505308432
"871",112772.066635365
"872",413201.307741785
"873",213355.81791507
"874",157704.229179454
"875",210448.466751269
"876",109344.186905384
"877",279162.67530006
"878",571393.541656144
"879",441171.425707165
"880",0
"881",437633.603091673
"882",161167.15920242
"883",232335.2308223
"884",659982.245875977
"885",239702.970130532
"886",152502.71295217
"887",169615.357312327
"888",275959.76893785
"889",384836.322108247
"890",216164.341183221
"891",264030.868007155
"892",339248.734652454
"893",373245.563617089
"894",198391.765594954
"895",243893.503650061
"896",262714.86939051
"897",305492.393304477
"898",147664.331732684
"899",298950.586466359
"900",376394.246346069
"901",484103.639032628
"902",339472.245836679
"903",345611.848605998
"904",466185.923445482
"905",380238.345106529
"906",212978.274866158
"907",622967.826071086
"908",134790.268317969
"909",52249.1198008641
"910",76897.6241495304
"911",381384.331666039
"912",538319.102877623
"913",183348.332208307
"914",356267.607498027
"915",288992.614664506
"916",187124.989811334
"917",106905.235030585
"918",125814.675430076
"919",60545.7414908649
"920",391564.060204052
"921",166503.303908567
"922",301429.068379173
"923",200528.4001769
"924",285082.156618138
"925",46617.6012212765
"926",537471.833664276
"927",141348.163302879
"928",766798.601367848
"929",309654.299808134
"930",29485.5993066644
"931",317371.667465984
"932",146477.02381342
"933",415277.954295857
"934",630011.394070277
"935",280707.467222874
"936",287632.933988465
"937",99623.0843039516
"938",591100.973603805
"939",179550.74511055
"940",247475.731604435
"941",171475.663997992
"942",617537.525423453
"943",235892.48769417
"944",414785.720599448
"945",414702.032770093
"946",322895.704700085
"947",153043.885584283
"948",38523.8902715532
"949",225682.077662593
"950",160551.612741419
"951",174185.031936355
"952",197019.761667959
"953",275996.034681771
"954",164478.601400194
"955",305545.725688567
"956",169062.989973293
"957",28061.5319921459
"958",75885.5081047359
"959",344438.72265526
"960",234694.181344124
"961",218215.895916293
"962",324445.090422721
"963",102967.426857373
"964",246470.882847273
"965",426262.730465042
"966",585515.440441563
"967",189070.049856334
"968",347980.74104175
"969",270773.522061881
"970",251805.761547534
"971",210713.632332329
"972",168205.10055305
"973",350259.808640092
"974",82439.1127293374
"975",258954.603605055
"976",106802.199271975
"977",408298.931439448
"978",230200.997547656
"979",306112.315550089
"980",259363.200717985
"981",291904.869001294
"982",293553.103145631
"983",173413.470431582
"984",178129.631284521
"985",178713.99520976
"986",259996.184390656
"987",530150.261340753
"988",525420.253255501
"989",290117.390697307
"990",209462.431511591
"991",252562.845725304
"992",236307.037841159
"993",171059.130805614
"994",148872.266207883
"995",165494.709743113
"996",801971.754660325
"997",199297.792522785
"998",334696.801438779
"999",191601.693900653
"1000",227171.601932316
"1001",87009.8932880179
"1002",316819.103979536
"1003",342205.021175394
"1004",415908.986157273
"1005",391689.691947218
"1006",702598.224779977
"1007",743078.641173181
"1008",343982.073230828
"1009",545241.791970153
"1010",125144.53474499
"1011",365375.478870632
"1012",260565.870681632
"1013",173303.299503129
"1014",443838.878612332
"1015",280602.537254702
"1016",55967.4239739424
"1017",354714.990305279
"1018",174959.47354036
"1019",497743.155030205
"1020",269038.782692739
"1021",370818.610764107
"1022",348129.221449972
"1023",125237.529617527
"1024",614800.493831434
"1025",339315.893069146
"1026",148698.72266047
"1027",326429.865055493
"1028",123561.70853408
"1029",250597.780522942
"1030",224056.768581794
"1031",387093.020025422
"1032",230310.669614648
"1033",73073.1536784609
"1034",97355.2527847749
"1035",209196.092469
"1036",430699.06534497
"1037",483560.161806343
"1038",147473.257209846
"1039",229932.384583429
"1040",101182.980514024
"1041",142864.809077495
"1042",485162.082275582
"1043",109873.582082464
"1044",315300.716988519
"1045",224562.326698414
"1046",203513.96381306
"1047",249782.151391737
"1048",59292.4891000697
"1049",192231.821698774
"1050",0
"1051",350382.70049765
"1052",98044.6615885232
"1053",349133.844153595
"1054",267281.894929603
"1055",173149.816455804
"1056",281866.437489314
"1057",513334.607951606
"1058",143904.190542693
"1059",604664.143851226
"1060",278465.605526866
"1061",228893.602454032
"1062",189657.750011294
"1063",0
"1064",483395.439409952
"1065",165043.949231367
"1066",165324.456254779
"1067",232627.667644459
"1068",216599.724915604
"1069",121838.795812306
"1070",312059.166554937
"1071",418928.34894128
"1072",422106.57168187
"1073",186169.922682084
"1074",247245.02378886
"1075",193899.535243908
"1076",201428.54776969
"1077",290062.673283017
"1078",270497.232158029
"1079",287826.643304757
"1080",295938.658290132
"1081",228308.622595791
"1082",95631.7256220213
"1083",355012.55659936
"1084",153620.128675085
"1085",136740.834179205
"1086",373912.892990155
"1087",584899.726377092
"1088",40846.1236761697
"1089",160919.668739049
"1090",192559.666679577
"1091",209829.551724843
"1092",7880.95803059667
"1093",115743.531545842
"1094",38733.309178159
"1095",349926.50596734
"1096",416503.101524318
"1097",271035.752912408
"1098",448726.750821435
"1099",265757.430841235
"1100",656266.295351247
"1101",298655.53633657
"1102",275299.468201147
"1103",184493.165454
"1104",468305.099203075
"1105",113525.969570734
"1106",630559.19110571
"1107",153365.873544598
"1108",172201.72855185
"1109",426425.049915337
"1110",182727.29168768
"1111",296349.538560273
"1112",496875.099041415
"1113",177775.910037175
"1114",30285.0401787005
"1115",306046.623929021
"1116",12037.3196181323
"1117",336769.587143532
"1118",235319.741825089
"1119",385359.570016576
"1120",401425.32541497
"1121",198588.430960283
"1122",273310.757657389
"1123",299202.647990788
"1124",249579.982572754
"1125",530935.538114794
"1126",207689.207390618
"1127",379216.613617404
"1128",0
"1129",132170.950387086
"1130",101256.919719764
"1131",303041.862166227
"1132",0
"1133",290497.14295182
"1134",174392.707053482
"1135",179067.54368379
"1136",132697.526525025
"1137",449034.007554333
"1138",235805.531793071
"1139",252690.866386751
"1140",233977.336513664
"1141",178677.77267321
"1142",218977.008182986
"1143",176666.514893905
"1144",158208.159464751
"1145",168988.339014606
"1146",268680.170431749
"1147",303008.768749832
"1148",228512.482723438
"1149",637966.807681601
"1150",246771.439582389
"1151",478962.481229722
"1152",169580.070352037
"1153",435071.420682449
"1154",201250.455178601
"1155",319727.861758642
"1156",2074.14691445086
"1157",482450.837839782
"1158",227892.597619536
"1159",145323.589465479
"1160",275766.236904697
"1161",652296.823598765
"1162",680122.125391638
"1163",315360.402262974
"1164",224398.920011954
"1165",213251.46601393
"1166",171839.499210817
"1167",230901.838248354
"1168",300849.89771571
"1169",442728.099103974
"1170",236575.450422094
"1171",179813.586611884
"1172",159074.118667474
"1173",209413.270984922
"1174",403290.410257411
"1175",148754.999230322
"1176",252192.569850925
"1177",264554.281416568
"1178",402210.94522471
"1179",541480.812211227
"1180",142686.421507538
"1181",131404.783113838
"1182",314812.687052781
"1183",305053.084060672
"1184",135890.695987027
"1185",511397.414709334
"1186",460782.914770326
"1187",421714.136810396
"1188",414695.380496101
"1189",285016.950697354
"1190",133564.735361
"1191",207822.537609923
"1192",141379.097381275
"1193",191255.062242457
"1194",385869.149594585
"1195",616238.328169965
"1196",404975.983888432
"1197",496011.121226905
"1198",222134.852930088
"1199",177580.876366872
"1200",234832.695038719
"1201",261816.296959572
"1202",337544.81846394
"1203",222738.397363448
"1204",153002.725819076
"1205",251807.195041001
"1206",196001.906439261
"1207",487349.00748256
"1208",412073.324063843
"1209",409531.002482351
"1210",215204.371264886
"1211",222787.645661151
"1212",658009.190115845
"1213",168911.639077347
"1214",146687.021106916
"1215",235232.382948322
"1216",370244.777538072
"1217",156851.267540324
"1218",220864.606161441
"1219",227466.64000035
"1220",459226.65876588
"1221",414932.288997013
"1222",288444.360367372
"1223",231652.057124811
"1224",265446.304440326
"1225",310003.381785861
"1226",426212.58574061
"1227",169878.264174955
"1228",802418.631348693
"1229",203910.203931981
"1230",250876.149325223
"1231",456614.403891342
"1232",252491.07736803
"1233",297182.147252153
"1234",344994.972894697
"1235",462415.359727181
"1236",505926.810473618
"1237",331279.9465227
"1238",251023.71398417
"1239",205399.465228102
"1240",191037.910443925
"1241",276170.37949016
"1242",193275.93414085
"1243",164009.79609038
"1244",346692.685659902
"1245",393549.197226122
"1246",416501.858814841
"1247",399638.057783545
"1248",194624.233245806
"1249",289452.553916529
"1250",184768.97398418
"1251",265695.804652693
"1252",329484.34681564
"1253",464369.92112099
"1254",390451.464947106
"1255",405925.78046769
"1256",218622.560477308
"1257",455035.544351234
"1258",224727.61237352
"1259",619381.240628144
"1260",376405.96648713
"1261",176834.881879943
"1262",160405.631942839
"1263",201173.192327441
"1264",270447.357282058
"1265",276543.857706574
"1266",133760.658656429
"1267",243561.459510449
"1268",490829.099490473
"1269",142965.406104651
"1270",196897.543433598
"1271",362205.139275169
"1272",181648.925043924
"1273",631634.23929334
"1274",437820.736667289
"1275",279708.955678445
"1276",231679.93694975
"1277",602649.281651795
"1278",217699.094037813
"1279",157374.44342578
"1280",381661.165410858
"1281",165397.926508033
"1282",467468.863902403
"1283",217959.617153245
"1284",418529.227442669
"1285",557824.384805172
"1286",179328.325736314
"1287",265567.34230877
"1288",379136.504955151
"1289",201727.344222152
"1290",198963.851407895
"1291",537873.509258576
"1292",13527.3520334072
"1293",327899.263129876
"1294",161630.118611709
"1295",121326.206181757
"1296",132553.848447105
"1297",347580.032443523
"1298",200105.48820941
"1299",0
"1300",136195.851798015
"1301",182882.159041814
"1302",460145.27282364
"1303",180228.130425489
"1304",197773.291806633
"1305",219870.646389976
"1306",394732.63477881
"1307",299286.912052023
"1308",479903.092707739
"1309",271367.689667355
"1310",379315.888563819
"1311",250406.309233685
"1312",375626.320595281
"1313",78474.3926373019
"1314",76948.1147547874
"1315",258010.470923447
"1316",163951.363864135
"1317",218912.609231253
"1318",144386.117962681
"1319",326680.980424498
"1320",202404.864421868
"1321",242087.625531607
"1322",338302.999166489
"1323",186122.803180944
"1324",243078.417153985
"1325",247345.421436989
"1326",172500.928911615
"1327",498867.59689573
"1328",146812.917410044
"1329",48342.8535085359
"1330",413009.703096637
"1331",320156.117324097
"1332",219264.791771607
"1333",297383.697573327
"1334",135741.641666241
"1335",160036.748233085
"1336",465251.467564742
"1337",137566.018855071
"1338",151618.05838516
"1339",386189.78380875
"1340",570043.605417549
"1341",248910.350765979
"1342",190723.989940656
"1343",249245.892321313
"1344",113473.912232779
"1345",657743.30156941
"1346",254565.817517142
"1347",151101.687685609
"1348",358481.780237886
"1349",174543.031355553
"1350",117958.46391709
"1351",300168.425920421
"1352",310625.211389764
"1353",402798.621537104
"1354",233728.193073444
"1355",249366.116955626
"1356",216241.956664202
"1357",87106.0485376202
"1358",340862.143744352
"1359",368146.065151234
"1360",49584.392468771
"1361",524032.897737705
"1362",200420.804394108
"1363",164592.320838644
